nameStd,icd10
Explosion and rupture of other specified pressurized devices,W38
Discharge of firework,W39
Explosion of other materials,W40
Exposure to noise,W42
Foreign body or object entering through skin,W45
Contact with hypodermic needle,W46
Exposure to other inanimate mechanical forces,W49
"Accidental hit, strike, kick, twist, bite or scratch by another person",W50
Accidental striking against or bumped into by another person,W51
"Crushed, pushed or stepped on by crowd or human stampede",W52
Contact with rodent,W53
Contact with dog,W54
Contact with other mammals,W55
Contact with nonvenomous marine animal,W56
Bitten or stung by nonvenomous insect and other nonvenomous arthropods,W57
Contact with crocodile or alligator,W58
Contact with other nonvenomous reptiles,W59
Contact with nonvenomous plant thorns and spines and sharp leaves,W60
Exposure to other animate mechanical forces,W64
Accidental drowning and submersion while in bath-tub,W65
Accidental drowning and submersion while in swimming-pool,W67
Accidental drowning and submersion while in natural water,W69
Other specified cause of accidental non-transport drowning and submersion,W73
Unspecified cause of accidental drowning and submersion,W74
Exposure to electric transmission lines,W85
Exposure to other specified electric current,W86
"Complication of surgical and medical care, unspecified",W86.0
"Complication of surgical and medical care, unspecified",W86.1
Exposure to ionizing radiation,W88
Exposure to man-made visible and ultraviolet light,W89
Exposure to other nonionizing radiation,W90
Exposure to excessive heat of man-made origin,W92
Exposure to excessive cold of man-made origin,W93
Exposure to high and low air pressure and changes in air pressure,W94
Exposure to other man-made environmental factors,W99
Exposure to uncontrolled fire in building or structure,X00
"Exposure to uncontrolled fire, not in building or structure",X01
Exposure to controlled fire in building or structure,X02
"Exposure to controlled fire, not in building or structure",X03
Exposure to ignition of highly flammable material,X04
Exposure to ignition or melting of nightwear,X05
Exposure to ignition or melting of other clothing and apparel,X06
"Exposure to other specified smoke, fire and flames",X08
"Contact with hot drinks, food, fats and cooking oils",X10
Contact with hot tap-water,X11
Contact with other hot fluids,X12
Contact with steam and other hot vapors,X13
Contact with hot air and other hot gases,X14
Contact with hot household appliances,X15
"Contact with hot heating appliances, radiators and pipes",X16
"Contact with hot engines, machinery and tools",X17
Contact with other hot metals,X18
Contact with other heat and hot substances,X19
Exposure to excessive natural heat,X30
Exposure to excessive natural cold,X31
Exposure to sunlight,X32
Earthquake,X34
Volcanic eruption,X35
"Avalanche, landslide and other earth movements",X36
Cataclysmic storm,X37
Flood,X38
Exposure to other forces of nature,X39
Overexertion and strenuous or repetitive movements,X50
Prolonged stay in weightless environment,X52
Exposure to other specified factors,X58
Intentional self-harm by drowning and submersion,X71
"Complication of surgical and medical care, unspecified",X71~X83
Intentional self-harm by handgun discharge,X72
"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73
Intentional self-harm by other and unspecified firearm and gun discharge,X74
Intentional self-harm by explosive material,X75
"Intentional self-harm by smoke, fire and flames",X76
"Intentional self-harm by steam, hot vapors and hot objects",X77
Intentional self-harm by sharp object,X78
Intentional self-harm by blunt object,X79
Intentional self-harm by jumping from a high place,X80
Intentional self-harm by jumping or lying in front of moving object,X81
Intentional self-harm by crashing of motor vehicle,X82
Intentional self-harm by other specified means,X83
Assault by drowning and submersion,X92
Assault by handgun discharge,X93
"Assault by rifle, shotgun and larger firearm discharge",X94
Assault by other and unspecified firearm and gun discharge,X95
Assault by explosive material,X96
"Assault by smoke, fire and flames",X97
"Assault by steam, hot vapors and hot objects",X98
Assault by sharp object,X99
Assault by blunt object,Y00
Assault by pushing from high place,Y01
Assault by pushing or placing victim in front of moving object,Y02
Assault by crashing of motor vehicle,Y03
Assault by bodily force,Y04
"Perpetrator of assault, maltreatment and neglect",Y07
Assault by other specified means,Y08
Assault by unspecified means,Y09
"Drowning and submersion, undetermined intent",Y21
"Handgun discharge, undetermined intent",Y22
"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23
"Other and unspecified firearm discharge, undetermined intent",Y24
"Contact with explosive material, undetermined intent",Y25
"Exposure to smoke, fire and flames, undetermined intent",Y26
"Contact with steam, hot vapors and hot objects, undetermined intent",Y27
"Contact with sharp object, undetermined intent",Y28
"Contact with blunt object, undetermined intent",Y29
"Falling, jumping or pushed from a high place, undetermined intent",Y30
"Falling, lying or running before or into moving object, undetermined intent",Y31
"Crashing of motor vehicle, undetermined intent",Y32
"Other specified events, undetermined intent",Y33
Legal intervention,Y35
Operations of war,Y36
Failure of sterile precautions during surgical and medical care,Y62
Failure in dosage during surgical and medical care,Y63
Contaminated medical or biological substances,Y64
Other misadventures during surgical and medical care,Y65
Nonadministration of surgical and medical care,Y66
Unspecified misadventure during surgical and medical care,Y69
Anesthesiology devices associated with adverse incidents,Y70
Cardiovascular devices associated with adverse incidents,Y71
Otorhinolaryngological devices associated with adverse incidents,Y72
Gastroenterology and urology devices associated with adverse incidents,Y73
General hospital and personal-use devices associated with adverse incidents,Y74
Neurological devices associated with adverse incidents,Y75
Obstetric and gynecological devices associated with adverse incidents,Y76
Ophthalmic devices associated with adverse incidents,Y77
Radiological devices associated with adverse incidents,Y78
Orthopedic devices associated with adverse incidents,Y79
Physical medicine devices associated with adverse incidents,Y80
General- and plastic-surgery devices associated with adverse incidents,Y81
Other and unspecified medical devices associated with adverse incidents,Y82
"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Y83
"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Y84
Evidence of alcohol involvement determined by blood alcohol level,Y90
Nosocomial condition,Y95
"Encounter for general examination without complaint, suspected or reported diagnosis",Z00
"Encounter for other special examination without complaint, suspected or reported diagnosis",Z01
Encounter for administrative examination,Z02
Encounter for medical observation for suspected diseases and conditions ruled out,Z03
Encounter for examination and observation for other reasons,Z04
Encounter for follow-up examination after completed treatment for malignant neoplasm,Z08
Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,Z09
Encounter for screening for infectious and parasitic diseases,Z11
Encounter for screening for malignant neoplasms,Z12
Encounter for screening for other diseases and disorders,Z13
Contact with and (suspected) exposure to communicable diseases,Z20
Asymptomatic human immunodeficiency virus [HIV] infection status,Z21
Carrier of infectious disease,Z22
Encounter for immunization,Z23
Immunization not carried out and underimmunization status,Z28
Encounter for other prophylactic measures,Z29
Encounter for contraceptive management,Z30
Encounter for procreative management,Z31
Encounter for pregnancy test and childbirth and childcare instruction,Z32
Pregnant state,Z33
Encounter for supervision of normal pregnancy,Z34
Encounter for antenatal screening of mother,Z36
Outcome of delivery,Z37
Liveborn infants according to place of birth and type of delivery,Z38
Encounter for maternal postpartum care and examination,Z39
"Complication of surgical and medical care, unspecified",Z39.2
Encounter for prophylactic surgery,Z40
Encounter for procedures for purposes other than remedying health state,Z41
Encounter for plastic and reconstructive surgery following medical procedure or healed injury,Z42
Encounter for attention to artificial openings,Z43
Encounter for fitting and adjustment of external prosthetic device,Z44
Encounter for adjustment and management of implanted device,Z45
Encounter for fitting and adjustment of other devices,Z46
Orthopedic aftercare,Z47
Encounter for other postprocedural aftercare,Z48
Encounter for care involving renal dialysis,Z49
Encounter for other aftercare and medical care,Z51
Donors of organs and tissues,Z52
"Persons encountering health services for specific procedures and treatment, not carried out",Z53
Problems related to education and literacy,Z55
Problems related to employment and unemployment,Z56
Occupational exposure to risk factors,Z57
Problems related to housing and economic circumstances,Z59
Problems related to social environment,Z60
"Complication of surgical and medical care, unspecified",Z60.4
Problems related to upbringing,Z62
"Other problems related to primary support group, including family circumstances",Z63
Problems related to certain psychosocial circumstances,Z64
Problems related to other psychosocial circumstances,Z65
"Counseling related to sexual attitude, behavior and orientation",Z70
"Persons encountering health services for other counseling and medical advice, not elsewhere classified",Z71
Problems related to lifestyle,Z72
"Complication of surgical and medical care, unspecified",Z72.5
Problems related to life management difficulty,Z73
"Complication of surgical and medical care, unspecified",Z73.4
Problems related to care provider dependency,Z74
Problems related to medical facilities and other health care,Z75
Persons encountering health services in other circumstances,Z76
"Complication of surgical and medical care, unspecified",Z79.0
"Complication of surgical and medical care, unspecified",Z79.84
Family history of primary malignant neoplasm,Z80
Family history of mental and behavioral disorders,Z81
Family history of certain disabilities and chronic diseases (leading to disablement),Z82
"Complication of surgical and medical care, unspecified",Z82.3
Family history of other specific disorders,Z83
Family history of other conditions,Z84
Personal history of malignant neoplasm,Z85
Personal history of certain other diseases,Z86
Personal history of other diseases and conditions,Z87
"Complication of surgical and medical care, unspecified",Z87.892
"Allergy status to drugs, medicaments and biological substances",Z88
Acquired absence of limb,Z89
"Acquired absence of organs, not elsewhere classified",Z90
"Personal risk factors, not elsewhere classified",Z91
"Complication of surgical and medical care, unspecified",Z91.03
Personal history of medical treatment,Z92
